Round,Loss,Accuracy
1,0.6634976267814636,0.53
2,0.5969935854276022,0.81
3,0.5752644141515096,0.68
4,0.43979309995969135,0.81
5,0.5007431507110596,0.78
6,0.960050622622172,0.67
7,0.5728733936945597,0.8
8,0.5895446340243021,0.87
9,0.9012901584307352,0.8
10,0.7875442902247111,0.85
11,3.9352779388427734,0.55
12,1.6744736433029175,0.76
13,2.1946587562561035,0.75
14,2.6455904642740884,0.71
15,2.899948517481486,0.7
16,2.905611515045166,0.72
17,2.6246351401011148,0.76
18,2.731416702270508,0.76
19,1.8804003397623699,0.84
20,1.994840105374654,0.81
21,2.0877630710601807,0.82
22,1.9620843331019084,0.85
23,4.387925306955974,0.68
24,2.3346847693125405,0.81
25,5.715211391448975,0.61
26,5.827240626017253,0.61
27,3.185863176981608,0.75
28,3.291982968648275,0.75
29,3.2854092915852866,0.75
30,3.319891373316447,0.75
31,2.2687642574310303,0.83
32,1.8899097045262654,0.87
33,1.877641201019287,0.87
34,1.876193602879842,0.87
35,1.5092401107152302,0.82
36,0.3768032193183899,0.91
37,1.3718171914418538,0.83
38,0.6892636219660441,0.9
39,2.462540864944458,0.65
40,0.9352345069249471,0.88
41,3.9753196239471436,0.71
42,0.8696509003639221,0.92
43,2.403895854949951,0.76
44,0.7996555964152018,0.91
45,2.508016665776571,0.77
46,0.8883722623189291,0.88
47,1.7212950785954793,0.8
48,2.8738340536753335,0.72
49,0.5279581546783447,0.87
50,0.43736158808072406,0.9
