Round,Loss,Accuracy
1,0.6811001499493917,0.63
2,0.6744708021481832,0.58
3,0.5628888408342997,0.71
4,0.5622095465660095,0.69
5,0.4500250816345215,0.73
6,1.1136775016784668,0.62
7,0.4620603422323863,0.78
8,1.671302358309428,0.63
9,1.2783186833063762,0.68
10,1.6303077936172485,0.69
11,0.38377782702445984,0.82
12,1.8290314277013142,0.65
13,2.8157132466634116,0.61
14,2.3631059328715005,0.66
15,2.4499088128407798,0.66
16,2.7159419854482016,0.69
17,1.341404914855957,0.83
18,1.3333737055460613,0.85
19,1.4403679768244426,0.85
20,6.318361123402913,0.56
21,5.534948348999023,0.63
22,5.6447296142578125,0.63
23,4.3137922286987305,0.67
24,4.499406814575195,0.67
25,4.518741289774577,0.67
26,6.926148732503255,0.52
27,1.134854753812154,0.87
28,1.196321686108907,0.87
29,1.2506539424260457,0.87
30,2.524454355239868,0.81
31,1.7858261267344158,0.87
32,1.7607996861139934,0.87
33,1.2519842386245728,0.87
34,1.9690618515014648,0.83
35,3.6255534489949546,0.65
36,1.1968539953231812,0.85
37,2.1030427614847818,0.84
38,1.226839542388916,0.87
39,0.8156246344248453,0.85
40,1.2722811698913574,0.85
41,1.8324373165766399,0.85
42,1.3359467188517253,0.88
43,2.6721737384796143,0.8
44,2.743891874949137,0.81
45,2.7651075522104898,0.81
46,2.983167807261149,0.8
47,1.7449254989624023,0.89
48,1.4029072523117065,0.88
49,1.6190329392751057,0.85
50,3.4582831064860025,0.77
